
Adams
Alternate Mode
Array Instruments
Brady
Brock
Carroll Sound
Chris Banta
Contemporanea
Cooperman
D.W.
D.W./Gon Bops
Dave Beery
Deagan
Deagan/  Yamaha
Ellie Mannette
Emil Richards
Equilibrium
Fahringer
Fat Congas
Frank Giorgini
Frederico Percussion
German Made
Gon Bops
Grover
Harry Bowers
Herman Guppy
Hohner
Hugh Tracy
Klaxon
Kolberg
L.P
L.P.
LAPR
LAPR/ Zach Manchester
LP
Leedy
Lincoln/  Andy Deils
Ludwig
Marimba One
Meinl
Mitch  Cunningham/  Bertie Marshall
Mitch  Cunningham/  Lincoln Noel
Musser
N/A
Paiste
Pearl
Pete Engelhart
RMV
Remo
Rhythm Band Instruments
Rob Slack
Schiedmayer
Schoenhut
Schulmerich
Schunda
Simmons / Tama
Slingerland
Sonor
Tama/  Starclassic
Tama/ Starclassic
Taxi bell
Toca
Various
Vaughcraft/  LAPR
Vaughncraft
Vaughncraft/  LAPR
Vaughncraft/  Pork Pie
Vaughncraft/ Pork Pie
Yamaha
Zildjian
n/a
unknown
